ticker,action,entry_date,exit_date,entry,exit,shares,pnl_pct,half_sold,days
CRWD,HALF,2020-09-01,2020-09-02,33.61000061035156,38.0099983215332,148.76524573641476,13.091334814871992,False,1
GNRC,STOP,2020-09-01,2020-09-03,189.7100067138672,178.59,52.712032291910894,-5.861581529876325,False,2
CRWD,STOP,2020-09-01,2020-09-03,33.61000061035156,32.75,148.76524573641476,-2.5587640426483427,True,2
FSLR,STOP,2020-09-01,2020-09-03,76.61000061035156,72.46,130.5312611973638,-5.417048136390202,False,2
UPS,STOP,2020-09-01,2020-09-04,125.9216574100456,120.06,79.4144566207261,-4.655003381156231,False,3
XYZ,STOP,2020-09-01,2020-09-04,164.80999755859375,146.67,60.67593075744552,-11.006612358054657,False,3
WDAY,STOP,2020-09-01,2020-09-04,241.6999969482422,215.74,41.37360416326943,-10.740586378162542,False,3
FDX,HALF,2020-09-01,2020-09-16,158.9625996520375,183.3599406117705,31.453939548955486,15.347849754053943,False,15
PWR,STOP,2020-09-01,2020-09-21,50.628171628906244,48.14,197.5184897708311,-4.914599024321897,False,20
CRM,STOP,2020-09-15,2020-09-21,247.09513090875197,234.2,39.988148097079254,-5.218690818118121,False,6
XYZ,HALF,2020-09-15,2020-09-29,146.1300048828125,166.92500244140626,33.80851419518609,14.230477563639376,False,14
XYZ,TARGET,2020-09-15,2020-10-09,146.1300048828125,187.72,33.80851419518609,28.46095512727873,True,24
CRWD,HALF,2020-09-15,2020-10-12,32.662750244140625,37.21137512207031,111.68843555851522,13.926031469887201,False,27
FDX,TARGET,2020-09-01,2020-10-16,158.9625996520375,206.51,31.453939548955486,29.91106112509594,True,45
FCX,HALF,2020-09-01,2020-10-21,14.58049222939516,16.72024611469758,342.9239508059745,14.675457122006797,False,50
CRWD,STOP,2020-09-15,2020-10-26,32.662750244140625,32.662750244140625,111.68843555851522,0.0,True,41
LEN,STOP,2020-09-22,2020-10-27,68.20321140208878,64.87,143.5573456514559,-4.887176620523026,False,35
DELL,STOP,2020-09-15,2020-10-28,31.078449019222877,28.564546720202816,317.9333911655233,-8.088892394421432,False,43
UPS,STOP,2020-10-13,2020-10-28,135.47022782530186,125.94482998562192,78.47959942454027,-7.031358839939051,False,15
TTD,STOP,2020-10-27,2020-10-28,61.499000549316406,59.01,165.72720692437912,-4.047221137066225,False,1
MRVL,STOP,2020-09-15,2020-10-29,38.81699099734681,35.21,254.55029962321734,-9.29229933766208,False,44
BLDR,HALF,2020-09-01,2020-11-05,30.3700008392334,35.0900004196167,163.89528687697074,15.541651135833302,False,65
QCOM,HALF,2020-10-20,2020-11-05,113.71386437317463,130.33693218658732,46.77300924077827,14.618329880040658,False,16
FCX,TARGET,2020-09-01,2020-11-09,14.58049222939516,19.375604253427003,342.9239508059745,32.88717519676465,True,69
DE,HALF,2020-09-15,2020-11-09,203.50861664707068,242.09344342265814,24.276310388326216,18.95980003760831,False,55
FLEX,HALF,2020-11-03,2020-11-09,10.565184593200684,12.022592296600342,473.68362552745594,13.794436723212456,False,6
DECK,STOP,2020-10-27,2020-11-10,43.651668548583984,40.46,233.48609408447652,-7.311675944372387,False,14
MPWR,STOP,2020-11-03,2020-11-16,306.9008064619706,289.21,32.613501412185144,-5.764340167728676,False,13
ALGN,STOP,2020-11-17,2020-11-18,452.0,443.45,23.546696469806363,-1.8915929203539794,False,1
FCX,HALF,2020-11-10,2020-11-24,18.390564336626834,21.150282168313417,281.83323790231304,15.006161753232883,False,14
GM,HALF,2020-11-10,2020-11-24,38.09992967232606,44.00422677651048,136.0388939932106,15.496871398355916,False,14
VRT,HALF,2020-09-22,2020-12-02,16.98964291046701,19.454821455233507,288.14825730553986,14.509890277021341,False,71
FLEX,TARGET,2020-11-03,2020-12-17,10.565184593200684,13.48,473.68362552745594,27.588873446424888,True,44
BLDR,TARGET,2020-09-01,2020-12-18,30.3700008392334,39.81,163.89528687697074,31.083302271666604,True,108
XYZ,HALF,2020-11-24,2020-12-21,208.0,239.055,26.329393970499098,14.930288461538455,False,27
FCX,TARGET,2020-11-10,2020-12-30,18.390564336626834,23.91,281.83323790231304,30.012323506465766,True,50
DE,TARGET,2020-09-15,2021-01-06,203.50861664707068,262.78,24.276310388326216,29.12475369812919,True,113
GNRC,HALF,2020-11-03,2021-01-06,215.99000549316406,246.16500274658202,23.170307954978547,13.970552565393103,False,64
PWR,HALF,2020-11-03,2021-01-07,66.27802096228017,75.89901048114008,75.50851503731965,14.516108627225567,False,65
