ticker,action,entry_date,exit_date,entry,exit,shares,pnl_pct,half_sold,days
PWR,STOP,2020-09-01,2020-09-21,50.628171628906244,48.14,658.3949659027704,-4.914599024321897,False,20
VRT,MA50,2020-09-22,2020-11-03,16.98964291046701,17.526787809640215,1863.6434125536161,3.161602053697554,False,42
FDX,MA50,2020-09-01,2020-12-21,158.9625996520375,197.30116551427787,209.48323739604353,24.117978660491126,False,111
FCX,MA50,2020-09-01,2021-01-28,14.58049222939516,24.46809386536617,2286.1596720398306,67.81390834005592,False,149
ALGN,MA50,2020-12-22,2021-01-28,531.989990234375,509.3599853515625,77.62233547394604,-4.253840353808647,False,37
QCOM,MA50,2020-11-10,2021-02-05,123.37047118477113,131.5943742759369,264.5002420102685,6.666022275986028,False,87
TTD,STOP,2021-02-09,2021-02-17,85.0,82.67,480.6974234165042,-2.7411764705882358,False,8
GM,MA50,2021-02-02,2021-04-21,50.12896507769866,52.98526387511464,890.6298893382227,5.697900989954197,False,78
AMAT,MA50,2021-02-02,2021-05-11,98.2776287659744,114.72665155237642,454.28807329189254,16.73730124845767,False,98
TPR,MA50,2021-04-27,2021-05-20,40.46469751830192,39.00327024229547,1165.1344995748996,-3.611610528771292,False,23
UPS,STOP,2021-05-18,2021-06-09,169.6085567233359,163.38496254727806,289.60405950541434,-3.669386908474037,False,22
GEN,STOP,2021-06-15,2021-06-17,25.561202696391515,24.53,1872.226803469637,-4.034249517285382,False,2
IVZ,MA50,2021-02-23,2021-06-18,18.097703430945376,21.415464617894862,2193.5908540455353,18.332498372563812,False,115
IRM,MA50,2021-05-25,2021-06-30,35.465709943859636,34.8108225571329,1346.6473789633337,-1.8465368034740748,False,36
CRWD,STOP,2021-07-13,2021-07-19,65.28500366210938,61.08,717.3410702460773,-6.440994755660723,False,6
VRT,MA50,2021-06-22,2021-08-17,26.52319114760066,26.622714789678017,1776.1566907346494,0.3752325333837625,False,56
NVDA,MA50,2021-06-22,2021-08-19,18.407830114038756,19.42680621302626,2482.5964282037153,5.535557926571588,False,58
RMD,STOP,2021-08-24,2021-09-27,272.94728329353353,257.5,169.8864149544029,-5.6594383747432975,False,34
WST,MA50,2021-08-24,2021-09-29,441.5914378862572,424.23092425879696,111.0774014413138,-3.9313519552278686,False,36
IT,MA50,2021-07-20,2021-10-11,254.77000427246094,302.5899963378906,171.80150109169404,18.76986743474287,False,83
KEY,MA50,2021-10-05,2021-11-29,17.73084770713719,18.310037089791056,2655.0934210238947,3.266563405317191,False,55
F,STOP,2021-11-30,2021-12-03,14.460496161416003,13.97,3600.5300654144116,-3.391973248641089,False,3
DDOG,MA50,2021-09-28,2021-12-06,138.86000061035156,160.42999267578125,314.710454882862,15.533625212890655,False,69
PANW,MA50,2021-10-12,2021-12-07,83.83333587646484,86.22000122070312,577.7745315341423,2.8469168252534205,False,56
ON,MA50,2021-12-07,2022-01-19,63.58000183105469,63.41999816894531,789.0467792754288,-0.2516572153214769,False,43
QCOM,MA50,2021-12-07,2022-01-19,161.22900220373234,162.57959850704785,311.1573909495932,0.8376881856583474,False,43
PFE,MA50,2021-12-07,2022-01-19,39.680729686958806,41.53894999508467,1263.016796082752,4.68292877370291,False,43
SLB,MA50,2022-01-25,2022-03-17,32.83064305944566,34.95340645432129,1551.791952103156,6.465799012928231,False,51
EOG,MA50,2022-01-25,2022-04-25,83.61160443438037,93.06006459961164,609.9311854139766,11.300417243693195,False,90
COP,MA50,2022-01-25,2022-04-25,70.22569870266345,79.20423803443632,726.1917780690154,12.78526166010554,False,90
KR,STOP,2022-03-22,2022-04-29,50.72423953197029,48.92,1068.282579751536,-3.556957282391826,False,38
NUE,STOP,2022-04-26,2022-05-02,148.68006942466783,140.56,376.89508146885015,-5.46143774084128,False,6
EQT,STOP,2022-05-03,2022-05-09,37.49918160088307,35.22,1398.9929445050584,-6.077950247397923,False,6
VST,STOP,2022-04-26,2022-05-12,23.14729744667643,21.96,2420.878161163062,-5.129313473469466,False,16
MCK,MA50,2022-05-10,2022-06-03,321.8723023364464,312.1068527546633,152.9229583818706,-3.0339515114834237,False,24
OXY,MA50,2022-05-03,2022-06-14,54.14494463027666,58.00252860706879,1011.3506784387313,7.124550598644541,False,42
EXE,MA50,2022-05-17,2022-06-15,73.54130647517135,73.6767319105592,722.1967475178755,0.18414880273247558,False,29
EOG,STOP,2022-06-07,2022-06-15,116.79184504575024,105.38,408.22955950410625,-9.771097495103309,False,8
IBM,STOP,2022-06-28,2022-07-19,122.51742679626098,112.79628923163541,421.13176409805646,-7.934493744135862,False,21
OXY,STOP,2022-07-26,2022-07-27,61.7673452752729,58.15,768.2469889902512,-5.856403993326587,False,1
VRTX,MA50,2022-06-28,2022-08-02,288.45001220703125,275.82000732421875,178.69433842280134,-4.378576650483024,False,35
OXY,STOP,2022-08-02,2022-08-03,61.316684219251115,58.07,745.3713903544725,-5.294944207423047,False,1
LLY,MA50,2022-06-28,2022-08-04,315.41047399070754,299.64569891721897,163.5835976740074,-4.998177414347071,False,37
TPL,STOP,2022-08-02,2022-08-04,192.98320074601105,179.65,249.56859305999245,-6.908995547005736,False,2
