ticker,action,entry_date,exit_date,entry,exit,shares,pnl_pct,half_sold,days
GNRC,STOP,2020-09-01,2020-09-03,189.7100067138672,178.59,52.712032291910894,-5.861581529876325,False,2
FSLR,STOP,2020-09-01,2020-09-03,76.61000061035156,72.46,130.5312611973638,-5.417048136390202,False,2
UPS,STOP,2020-09-01,2020-09-04,125.9216574100456,120.06,79.4144566207261,-4.655003381156231,False,3
XYZ,STOP,2020-09-01,2020-09-04,164.80999755859375,146.67,60.67593075744552,-11.006612358054657,False,3
WDAY,STOP,2020-09-01,2020-09-04,241.6999969482422,215.74,41.37360416326943,-10.740586378162542,False,3
PWR,STOP,2020-09-01,2020-09-21,50.628171628906244,48.14,197.5184897708311,-4.914599024321897,False,20
CRM,STOP,2020-09-15,2020-09-21,247.09513090875197,234.2,28.160050960664975,-5.218690818118121,False,6
LEN,MA50,2020-09-22,2020-10-23,68.20321140208878,68.1424624664984,93.25055483445168,-0.08907049146446022,False,31
DELL,MA50,2020-09-15,2020-10-27,31.078449019222877,29.835308599283984,315.54019041456644,-4.000007912782189,False,42
BLDR,MA50,2020-09-01,2020-10-28,30.3700008392334,30.209999084472656,327.7905737539415,-0.5268414565008706,False,57
TTD,STOP,2020-10-27,2020-10-28,61.499000549316406,59.01,165.7352618153687,-4.047221137066225,False,1
CRWD,MA50,2020-09-01,2020-10-29,33.61000061035156,33.09000015258789,297.5304914728295,-1.5471599176452133,False,58
MRVL,STOP,2020-09-15,2020-10-29,38.81699099734681,35.21,252.6342065510763,-9.29229933766208,False,44
XYZ,MA50,2020-09-15,2020-11-02,146.1300048828125,158.0,67.10805032258233,8.122900650490305,False,48
VRT,MA50,2020-09-22,2020-11-03,16.98964291046701,17.526787809640215,572.5395313033076,3.161602053697554,False,42
FSLR,STOP,2020-11-03,2020-11-04,89.5199966430664,80.0,111.24592010383044,-10.634491733756956,False,1
DECK,STOP,2020-10-27,2020-11-10,43.651668548583984,40.46,127.36850768588486,-7.311675944372387,False,14
MPWR,STOP,2020-11-03,2020-11-16,306.9008064619706,289.21,32.44935883048507,-5.764340167728676,False,13
ALGN,STOP,2020-11-17,2020-11-18,452.0,443.45,20.74772541996323,-1.8915929203539794,False,1
GNRC,MA50,2020-11-03,2020-12-04,215.99000549316406,208.0,46.10738525382797,-3.699247784600357,False,31
FDX,MA50,2020-09-01,2020-12-21,158.9625996520375,197.30116551427787,62.90787909791097,24.117978660491126,False,111
GM,MA50,2020-11-10,2021-01-05,38.09992967232606,38.39706797340348,105.7659699034881,0.779891993588766,False,56
XYZ,MA50,2020-11-24,2021-01-27,208.0,204.00999450683594,44.18889212557232,-1.918271871713495,False,64
FCX,MA50,2020-09-01,2021-01-28,14.58049222939516,24.46809386536617,685.847901611949,67.81390834005592,False,149
FLEX,MA50,2020-11-03,2021-01-28,10.565184593200684,15.003767967224121,942.5991856932405,42.011413382023875,False,86
AES,MA50,2020-11-03,2021-01-28,16.32928271300603,18.86866600308733,564.0233514898581,15.55110126214374,False,86
