date,equity,positions
2020-08-28,100000.0,0
2020-08-31,100000.0,0
2020-09-01,102176.30331903927,10
2020-09-02,102320.37470861814,10
2020-09-03,97504.21927813374,7
2020-09-04,97238.16256764348,4
2020-09-08,96694.71090638213,4
2020-09-09,97641.62202329867,4
2020-09-10,97235.39749189722,4
2020-09-11,98235.75539480166,4
2020-09-14,98903.09720474089,4
2020-09-15,98981.51054066858,10
2020-09-16,99696.06948345657,10
2020-09-17,98925.89734447884,10
2020-09-18,98613.9716078683,10
2020-09-21,96583.50684630664,8
2020-09-22,98180.52710410571,10
2020-09-23,95368.16413497654,10
2020-09-24,96126.95914073658,10
2020-09-25,97107.83692289263,10
2020-09-28,99680.19613797206,10
2020-09-29,99474.11305029684,10
2020-09-30,100302.82810352625,10
2020-10-01,101495.58958437771,10
2020-10-02,101823.53312134287,10
2020-10-05,103420.15775200397,10
2020-10-06,102593.44042874807,10
2020-10-07,104252.2977214509,10
2020-10-08,105170.9545632451,10
2020-10-09,106082.10624175837,10
2020-10-12,106053.5217374801,10
2020-10-13,106412.63885925828,10
2020-10-14,106461.7214695661,10
2020-10-15,106845.40659391005,10
2020-10-16,106654.17915791922,10
2020-10-19,105596.70035836706,10
2020-10-20,106412.39841196533,10
2020-10-21,104878.8670398646,10
2020-10-22,104606.9304527489,10
2020-10-23,105013.93741662559,9
2020-10-26,102614.07079318393,8
2020-10-27,102089.44536150029,10
2020-10-28,99681.6523463183,8
2020-10-29,99918.23410962045,7
2020-10-30,98451.69198903366,7
2020-11-02,99312.73178508115,6
2020-11-03,100102.68429347491,10
2020-11-04,99193.54287776118,9
2020-11-05,102897.21855963193,9
2020-11-06,103171.92499366254,9
2020-11-09,101314.91638827552,9
2020-11-10,101080.74558065922,10
2020-11-11,102431.7431518314,10
2020-11-12,100712.15797686434,10
2020-11-13,102000.41767328884,10
2020-11-16,103299.90089087735,9
2020-11-17,102900.61673146108,10
2020-11-18,102771.84541355976,9
2020-11-19,102960.31594036431,9
2020-11-20,102848.77575754026,9
2020-11-23,103790.17391676518,9
2020-11-24,105034.44768586813,10
2020-11-25,105034.67773789575,10
2020-11-27,105277.31964913374,10
2020-11-30,104290.19694053917,10
2020-12-01,104617.2872385172,10
2020-12-02,104819.83366357407,10
2020-12-03,104830.81473220259,10
2020-12-04,106074.40219963025,9
2020-12-07,106174.52763365602,9
2020-12-08,106560.01591959264,10
2020-12-09,106007.84718779029,10
2020-12-10,106343.25846380403,10
2020-12-11,105209.75788657845,10
2020-12-14,104454.43443421656,10
2020-12-15,106173.17639898453,10
2020-12-16,106287.71026864281,10
2020-12-17,107276.51104217628,10
2020-12-18,106739.00324624588,10
2020-12-21,106953.38793442425,9
2020-12-22,107555.0183046604,10
2020-12-23,108166.71344304123,10
2020-12-24,108251.33898556224,10
2020-12-28,107746.97604111137,10
2020-12-29,107091.50816946672,10
2020-12-30,108676.40806296549,10
2020-12-31,109029.20301987612,10
2021-01-04,108793.99143475326,10
2021-01-05,110424.61339670693,9
2021-01-06,113027.81115044217,9
2021-01-07,115071.26433542528,9
2021-01-08,115215.21403601862,9
2021-01-11,114157.28595865413,9
2021-01-12,114663.8477132753,10
2021-01-13,114642.5927406921,10
2021-01-14,116175.08622891517,10
2021-01-15,114057.00984601048,10
2021-01-19,115171.84685302869,10
2021-01-20,115611.87622629513,10
2021-01-21,115502.87547991227,10
2021-01-22,115457.71155825356,10
2021-01-25,114084.5352614097,10
2021-01-26,112116.38785804811,10
2021-01-27,108734.70109304255,9
2021-01-28,110662.07443531012,4
2021-01-29,109784.99043913645,4
2021-02-01,110040.38694766932,3
2021-02-02,109645.8224032799,10
2021-02-03,109821.33287065737,10
2021-02-04,110337.2322150612,10
2021-02-05,110349.74700725904,9
2021-02-08,113022.27935384019,9
2021-02-09,113349.95413359198,10
2021-02-10,113097.68746469691,10
2021-02-11,114036.68213879461,10
2021-02-12,114228.99262485551,10
2021-02-16,115307.78376385591,10
2021-02-17,113233.65884753698,8
2021-02-18,110499.52337895587,8
2021-02-19,113067.96232670403,8
2021-02-22,112611.20517222877,8
2021-02-23,112812.1065318719,10
2021-02-24,116264.53780566851,10
2021-02-25,112044.6380884051,10
2021-02-26,112668.38348591194,10
2021-03-01,116665.93670990624,10
2021-03-02,115140.23464003202,10
2021-03-03,115155.49711995621,10
2021-03-04,114253.23864529867,10
2021-03-05,117378.00310221508,9
2021-03-08,117219.22627634023,9
2021-03-09,117085.66018423092,10
2021-03-10,118779.02640648674,10
2021-03-11,120888.46717835893,10
2021-03-12,121721.45136677283,10
2021-03-15,121346.7046270686,9
2021-03-16,119236.33035248962,10
2021-03-17,121259.0716180435,10
2021-03-18,118684.03781265469,9
2021-03-19,118554.26840097769,9
2021-03-22,118008.00476893116,9
2021-03-23,114622.45320759618,10
2021-03-24,115348.48302498757,9
2021-03-25,116651.09034021062,9
2021-03-26,118500.06613973988,9
2021-03-29,117520.13395829458,9
2021-03-30,118787.84914408604,10
2021-03-31,118543.47258252042,10
2021-04-01,120751.13090021117,10
2021-04-05,120652.01765418853,10
2021-04-06,120364.06712974687,10
2021-04-07,119833.28597809616,10
2021-04-08,119924.35805671406,10
2021-04-09,120200.52558927285,10
2021-04-12,119944.17836121016,10
2021-04-13,119403.76047466713,10
2021-04-14,120444.9823925034,10
2021-04-15,120519.41448141592,10
2021-04-16,120628.89872510661,10
2021-04-19,120189.0301038824,9
2021-04-20,117607.68035625304,10
2021-04-21,119487.53877929343,8
2021-04-22,118055.83872689726,7
2021-04-23,119182.35906176966,7
2021-04-26,119716.08451206409,7
2021-04-27,120183.06359129,10
2021-04-28,120199.0786998624,10
